ID,Young,Mid,Old,Health
PredMite,0.31,0.15,0.22,0.11
NemMite,6.00E-04,0.01,0.08,0.03
PredColl,7.00E-04,0.005,0,0.003
PredNem,0.8,0.07,0.16,0.05
OmniNem,0.2,0.67,0.41,0.38
Amoebae,0.07,0.15,0.56,0.08
FungNem,0.04,0.08,0.11,0.03
FungColl,1,1.38,0.56,0.5
FungCryJuvMite,6.00E-04,0.07,0.1,0.09
FungCryAdultMite,0.02,0.52,0.4,0.65
FungNoncryMite,0.62,0.08,0.48,0.02
BactNem,0.36,0.28,0.23,0.16
Flagellates,0.1,0.18,0.14,0.1
Fungi,9.67,9.36,19,18.07
Bacteria,14.4,31.3,11.4,14
Enchytraeids,4.21,1.92,2.3,2.99
PhytoNem,0.21,0.16,0.17,0.07
WaterSolubleSugars,44,82,148,831
LabileOM,1408,932,2379,3917
RecalOM,1814,1277,2363,8300
Roots,1056,3901,2906,8092
