ID,B
BitingFlies,0.833136660
CanopyWebSpiders,0.122484760
CrabSpiders,0.173710371
CraneFlies,0.003575050
HerbivorousFlies,0.105547254
HerbivorousTrueBugs,0.381233745
Lepidoptera,0.256410445
NonbitingMidges,0.077780470
OtherSurfaceActiveSpiders,0.691761534
ParasiticWasps,0.219028040
PredaceousBeetles,2.581885330
SaprophagousDiptera,0.227886916
SurfaceCollembola,0.250976217
SurfaceWebSpiders,0.087692434
WolfSpiders,0.835559117
PredatoryMites,1.271178000
NematophagousMites,0.360645000
PredatoryNematodes,0.283398000
OmnivorousNematodes,1.690175000
Tardigrades,0.308062000
Amoebae,1.075850000
Cilliates,0.169345000
Rotifers,0.347868000
CollembolaSoil,6.034959000
CryptostigmaticMites,16.296173000
NonCryptostigmaticMites,1.884815000
FungivorousNematodes,0.067900000
Flagellates,0.032000000
Enchytraeids,1.690175000
BacteriophagousNematodes,0.153964000
PhytophagousNematodes,0.308062000
Fungi,7889.572857000
Bacteria,698.041049000
Detritus,1000.000000000
Roots,1.000000000
Lichen,1.000000000
Moss,1.000000000
VascularPlants.aboveground.tissue,1.000000000
Pollen,1.000000000
Blood,1.000000000
Diatoms,1000.000000000
